Date,ADYEY,AFRM,ALKT,AVLR,AVDX,BKKT,BILL,BL,BLND,SQ,BHG,BTRS,CLOV,COIN,COMP,DAVE,DLO,DOMA,DCT,ENV,EVER,EXFY,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,HOOD,ROOT,SEZNL,SHOP,SOFI,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2025-03-31 00:00:00,0.4682404259,0.02108620737,-0.1021973973,,0.1027954786,,0.09699652678,0.1505704535,-0.1508040717,0.07168499332,,,-0.01539884564,0.1152099421,0.002714459131,,0.2851203195,,,,0.07362654731,,0.5324121973,0.02566995052,,0.09321146058,-0.1304047043,-0.0002171858097,,-0.3591120659,-0.03813429468,,0.3585610579,0.0753739822,0.1526833303,,,0.05659889313,0.04204653694,0.263271871,0.06654140492,-0.03785365854,0.0198270187,0.4249794439,0.08547923563,0.1929950309,0.2212389381,0.07077235598,-0.1061676779,0.003483308502,0.4134969325,,,0.1307175605,0.1410393748,0.4157689795,0.03198008426,-0.07869082421,0.5737711081,0.2652026336,0.1974590255
2024-12-31 00:00:00,0.4455681,-0.037107,-0.0883992,,0.11975896,,0.00570153,0.13886576,-0.2053957,0.07859122,,,-0.0321742,0.38063807,-0.0116537,,0.23002343,,,,0.06842,,0.53318343,0.01347167,,0.04287663,-0.1926901,-0.021975,,-0.3492877,-0.0162155,,-0.0546733,0.01025059,0.15603793,,,0.01765999,0.07867946,0.26029846,-0.0843692,-0.0448283,0.00970813,0.4113124,0.07153812,0.20080166,0.20957387,0.06157964,-0.1030107,-0.0109157,0.38393765,,,0.14448199,,0.46082644,0.02237903,-0.177907,,0.26520263,0.19745903
2024-09-30 00:00:00,0.32,0.02,-0.14,,0.05,,-0.01,0.15,-0.48,0.04,,,-0.06,0.29,-0.02,,0.22,,,0.11,0.05,,,-0.01,,0.04,-0.43,-0.04,,-0.14,-0.09,-0.02,-0.1,-0.41,0.15,,0.09,0.04,0.07,0.27,-0.13,-0.06,-0.03,0.42,0.1,0.21,0.22,-0.03,-0.12,-0.08,0.06,,,-0.01,0.01,0.49,0.001,-0.36,,0.08,0.3
2024-06-30 00:00:00,0.32,-0.09,-0.16,,0.02,,-0.02,0.2,-0.59,0.02,,,-0.07,0.13,-0.03,,0.25,,,0.11,0.02,-0.18,0.54,-0.01,,0.06,-0.76,-0.07,,-0.3,-0.1,-0.12,0.53,-0.38,0.15,,0.06,0.001,0.08,0.27,-0.15,-0.05,0.001,0.42,0.09,0.18,0.22,-0.05,-0.13,-0.09,0.07,,,0.05,0.02,0.36,-0.02,-0.31,0.3,0.12,0.3
2024-03-31 00:00:00,0.06,-0.22,-0.18,,0.001,,-0.05,0.04,-0.74,0.02,,,-0.09,0.03,-0.04,,0.19,,,0.1,-0.09,-0.21,0.53,-0.02,,0.08,-1.07,-0.09,,-0.44,-0.17,-0.27,0.64,-0.39,0.15,,0.02,0.03,0.07,0.33,-0.19,-0.03,-0.03,0.43,0.08,0.15,0.22,0.001,-0.14,-0.11,-0.24,,,-0.01,-0.01,0.54,-0.06,-0.45,0.31,0.25,0.09
2023-12-31 00:00:00,0.11,-0.38,-0.2,,-0.05,-0.22,-0.15,0.2,-1.03,0.01,,,-0.1,-0.19,-0.05,,0.41,,,0.07,0.001,-0.14,0.53,0.03,,0.08,-1.57,-0.12,,-0.62,-0.2,-0.37,0.64,-0.36,0.21,,-0.03,-0.07,0.06,0.21,-0.18,-0.03,-0.06,0.43,0.03,0.11,0.22,-0.03,-0.17,-0.1,-0.36,,,-0.03,0.02,0.34,-0.08,-0.48,0.32,0.26,0.1
2023-09-30 00:00:00,0.11,-0.53,-0.25,,-0.1,-0.37,-0.19,0.1,-1.15,0.01,-0.11,,-0.1,-0.4,-0.07,,0.37,,,0.07,-0.05,-0.08,0.52,-0.03,,0.08,-2.31,-0.14,,-0.77,-0.24,-0.3,0.13,-0.31,0.21,,-0.08,-0.06,0.05,0.22,-0.2,-0.09,-0.09,0.43,0.06,0.05,0.22,-0.07,-0.16,-0.11,-0.45,,,-0.01,0.17,0.39,-0.08,-0.46,0.25,0.19,0.12
2023-06-30 00:00:00,0.087,-0.789,-0.2318,,-0.1596,-3.1091,-0.2461,-0.0203,-1.3433,-0.0352,-0.1392,,-0.114,-0.7525,-0.0823,-0.5225,0.3141,-0.5,,0.0501,-0.0373,-0.059,0.5202,-0.047,-0.074,0.1174,-1.97,-0.1832,,-0.856,-1.3461,-0.4443,0.505,-0.3038,0.1483,,-0.1288,-0.075,0.0534,,-0.2462,-0.0753,-0.1202,0.4304,0.0492,0.0322,0.1918,-0.113,-0.1539,-0.1637,-0.7067,,,-0.138,1.138,0.5149,-0.1005,-0.4142,0.3818,0.182,0.128
2023-03-31 00:00:00,0.074,-0.7684,-0.239,,-0.1741,-3.1273,-0.3127,-0.0326,-1.161,-0.05,-0.1677,,-0.1067,-0.7977,-0.0836,-0.6165,0.3254,-0.5068,0.0258,0.0516,-0.0446,-0.073,0.5182,-0.0552,-0.074,0.12,-2.224,-0.2315,0.4575,-1.068,-1.4611,-0.3559,0.5408,-0.2737,0.1364,,-0.2258,-0.127,0.0334,,-0.2419,-0.0502,-0.1441,0.4164,0.0483,-0.0016,0.1873,-0.12,-0.1282,-0.1761,-0.6996,-0.8032,-0.073,-0.1307,1.1307,0.4987,-0.1157,-0.1188,0.4021,0.159,0.092
2022-12-31 00:00:00,0.082,-0.6859,-0.3037,,-0.3043,-4.2037,-0.3094,-0.0423,-0.9307,-0.0132,-0.1756,-0.4074,-0.1492,-0.2147,-0.0805,-0.6524,0.3537,-0.4108,0.053,0.0671,-0.0431,-0.387,0.5178,-0.0709,0.055,0.1119,-2.326,-0.2646,0.4576,-1.367,-0.4058,-0.1547,0.5363,-0.27,0.1168,,-0.3278,-0.174,-0.006,,-0.2386,-0.041,-0.1562,0.3861,0.0423,0.0034,0.1833,-0.094,-0.0913,-0.1826,-0.9128,-0.8705,-0.125,-0.1022,1.1022,0.53,-0.1351,0.018,0.438,0.136,0.047
2022-09-30 00:00:00,0.091,-0.6449,-0.2865,-0.1203,-0.3014,-4.22,-0.351,0.0424,-0.8058,-0.0125,-0.2913,-0.3687,-0.2031,-0.0453,-0.0706,-0.6,0.3514,-0.3315,0.0445,0.0768,-0.0449,0.035,0.5235,-0.0539,0.161,0.113,-2.378,-0.304,0.469,-1.545,-0.425,0.0184,0.5399,-0.275,0.0992,,-0.4125,-0.178,0.0177,,-0.2349,0.0034,-0.1911,0.3569,0.0425,-0.0018,0.1848,-0.092,-0.0643,-0.1566,-1.7844,-1.0227,-0.239,-0.0414,1.0414,0.3297,-0.14,0.0962,0.4444,0.13,0.044
2022-06-30 00:00:00,0.096,-0.5694,-0.2622,-0.0973,-0.303,-4.9091,-0.4181,0.0762,-0.7782,0.0005,-0.2012,-0.3647,-0.2816,0.2257,-0.0592,-0.3665,0.364,-0.2541,0.0625,0.1119,-0.0423,0.159,0.53,-0.0181,0.237,0.1194,-2.307,-0.2713,0.4504,-1.698,-0.3898,0.0934,0.5248,-0.3426,0.0931,,-0.4712,-0.147,-0.0167,,-0.1987,-0.0114,-0.2154,0.3231,0.0524,-0.0353,0.2023,-0.091,-0.0431,-0.0974,-1.2915,-1.2293,-0.279,0.0249,0.9751,0.3563,-0.1359,0.1639,0.4304,0.13,0.045
2022-03-31 00:00:00,0.099,-0.6242,-0.2566,-0.0973,,,-0.3883,0.1035,-0.7489,0.0185,-0.1505,-0.259,-0.4228,0.4013,-0.0668,,0.342,-0.1574,0.0436,0.1331,-0.0406,,0.5415,-0.0199,0.296,0.1082,-2.291,-0.1926,0.4917,-1.79,-0.3264,0.2191,0.5117,-0.3056,0.0912,-1.6095,-0.4152,-0.15,,,-0.1745,-0.064,-0.284,0.2915,0.0608,-0.0253,0.2178,-0.087,-0.0297,-0.0742,-0.8898,-1.3526,-0.133,0.0729,0.9271,0.3322,-0.1038,0.1745,0.4559,0.131,0.044
2021-12-31 00:00:00,0.101,-0.5373,-0.2587,-0.1017,,,-0.3774,0.1034,,0.0272,-0.149,-0.179,-0.4124,0.4106,-0.0503,,0.3643,,0.023,0.1503,-0.0314,,0.5578,0.045,0.253,0.0953,,-0.1223,0.4725,-1.812,-0.3702,0.3115,0.6302,-0.2956,0.097,-1.5233,,-0.181,,,-0.1,-0.1093,-0.3427,0.2957,0.046,-0.054,0.2204,-0.097,-0.0079,,,-1.5329,-0.563,0.1019,0.8981,0.2176,,0.1524,0.4596,,0.043
2021-09-30 00:00:00,0.103,-0.4328,,-0.099,,,-0.3151,0.0568,,0.0291,,-0.1195,-0.3854,,-0.0401,,,,-0.0444,0.1545,-0.0253,,0.5617,,0.208,0.089,,,,-1.802,-0.3654,0.3955,0.7464,,0.0834,-1.5938,,-0.18,,,0.0382,-0.1785,-0.3316,0.2871,,,0.2233,-0.096,0.0287,,,-1.5517,-0.525,0.1264,,0.6572,,0.167,0.4829,,0.066
2021-06-30 00:00:00,0.103,,,-0.081,,,-0.1634,0.0462,,0.0235,,,,,,,,,-0.0513,0.1538,-0.0298,,0.5565,,-0.109,0.0717,,,,-1.422,-0.4253,,0.458,,0.0787,,,-0.207,,,,-0.1605,,0.2936,,,0.2243,-0.1,0.0529,,,-0.9075,-0.431,0.1024,,0.4805,,0.1,0.5181,,0.091
2021-03-31 00:00:00,0.103,,,-0.084,,,-0.2186,0.0682,,0.015,,,,,,,,,-0.0357,0.1331,-0.026,,0.5168,,-0.804,0.0934,,,,-1.262,-0.1371,,,,0.0586,,,-0.142,,,,,,0.328,,,0.2087,-0.138,0.0316,,,,-0.472,0.0543,,0.5217,,,0.5194,,0.103
2020-12-31 00:00:00,0.105,,,-0.0907,,,-0.2262,0.0685,,0.0044,,,,,,,,,,0.1374,-0.0217,,0.5121,,-0.965,0.1199,,,,-1.216,,,,,0.0578,,,,,,,,,0.3373,,,0.2089,-0.132,-0.0114,,,,-0.388,0.0049,,0.5721,,,0.6432,,0.116
2020-09-30 00:00:00,0.108,,,-0.1014,,,-0.1911,0.0436,,0.0025,,,,,,,,,,0.1253,-0.01,,0.5195,,-1.147,0.1251,,,,,,,,,0.0014,,,,,,,,,0.3581,,,0.2024,-0.128,-0.0468,,,,-0.403,-0.0399,,0.5951,,,0.6128,,0.091
2020-06-30 00:00:00,0.109,,,-0.1198,,,-0.1701,0.0195,,0.0068,,,,,,,,,,0.1003,-0.0108,,0.5301,,-0.565,0.1621,,,,,,,,,-0.0457,,,,,,,,,0.3632,,,0.1957,-0.13,-0.0592,,,,-0.571,-0.0781,,0.6181,,,0.5429,,0.064
2020-03-31 00:00:00,0.111,,,-0.1044,,,,-0.039,,0.0216,,,,,,,,,,0.0956,-0.0241,,0.5704,,-0.249,0.1841,,,,,,,,,-0.0344,,,,,,,,,0.3651,,,0.2043,-0.104,-0.0808,,,,-0.707,-0.0665,,0.6248,,,0.4542,,0.066
2019-12-31 00:00:00,0.101,,,-0.1278,,,,-0.0295,,0.0199,,,,,,,,,,0.0885,-0.0558,,0.5681,,-0.257,0.1984,,,,,,,,,-0.0039,,,,,,,,,0.3667,,,0.2011,-0.122,-0.1043,,,,,-0.0649,,0.695,,,0.2282,,0.068
2019-09-30 00:00:00,0.106,,,-0.1424,,,,-0.0275,,0.0104,,,,,,,,,,0.0872,-0.0895,,0.5628,,-0.266,0.1991,,,,,,,,,0.03,,,,,,,,,0.3578,,,0.1946,-0.106,-0.1311,,,,,-0.0694,,0.778,,,0.2559,,0.052
2019-06-30 00:00:00,0.104,,,-0.1655,,,,-0.0458,,0.0092,,,,,,,,,,0.1044,-0.0914,,0.5632,,-0.274,0.1897,,,,,,,,,0.0201,,,,,,,,,0.3547,,,0.1887,-0.095,-0.1199,,,,,-0.0687,,,,,0.3387,,0.033
2019-03-31 00:00:00,0.105,,,-0.1985,,,,-0.0396,,0.0076,,,,,,,,,,0.1145,-0.0793,,0.5633,,-0.283,0.1925,,,,,,,,,-0.0083,,,,,,,,,0.3111,,,0.1922,-0.067,-0.0678,,,,,-0.0606,,,,,0.5043,,0.018
2018-12-31 00:00:00,0.102,,,-0.188,,,,-0.0186,,0.0007,,,,,,,,,,0.1146,-0.042,,0.5519,,,0.1935,,,,,,,,,-0.065,,,,,,,,,,,,0.215,-0.041,-0.0545,,,,,-0.062,,,,,0.4887,,0.001
2018-09-30 00:00:00,,,,,,,,-0.0597,,-0.0037,,,,,,,,,,0.1148,,,0.5418,,,0.2109,,,,,,,,,-0.0387,,,,,,,,,,,,0.2174,-0.056,-0.0467,,,,,-0.0481,,,,,0.455,,-0.014
2018-06-30 00:00:00,,,,,,,,-0.0532,,-0.0095,,,,,,,,,,0.1188,,,0.5296,,,0.2064,,,,,,,,,0.0047,,,,,,,,,,,,0.22,-0.064,-0.0462,,,,,-0.0382,,,,,0.4558,,-0.032
2018-03-31 00:00:00,,,,,,,,-0.0571,,-0.0077,,,,,,,,,,0.1155,,,0.5136,,,0.1962,,,,,,,,,0.0789,,,,,,,,,,,,0.2239,-0.076,-0.0243,,,,,-0.0386,,,,,0.2763,,-0.053
2017-12-31 00:00:00,,,,,,,,-0.0242,,-0.0088,,,,,,,,,,0.093,,,0.5232,,,0.1867,,,,,,,,,0.2,,,,,,,,,,,,0.2036,-0.081,,,,,,-0.0569,,,,,0.2098,,-0.078
2017-09-30 00:00:00,,,,,,,,-0.073,,-0.0178,,,,,,,,,,0.089,,,0.5214,,,0.1791,,,,,,,,,0.2363,,,,,,,,,,,,0.2064,-0.1,,,,,,-0.0629,,,,,0.3201,,-0.142
2017-06-30 00:00:00,,,,,,,,-0.0144,,-0.0273,,,,,,,,,,0.0811,,,0.5225,,,0.1803,,,,,,,,,0.256,,,,,,,,,,,,0.2078,-0.116,,,,,,-0.0608,,,,,0.3592,,-0.217
2017-03-31 00:00:00,,,,,,,,,,-0.0772,,,,,,,,,,0.0692,,,0.5265,,,0.1797,,,,,,,,,0.2485,,,,,,,,,,,,0.2131,-0.136,,,,,,-0.0615,,,,,0.3883,,-0.267
2016-12-31 00:00:00,,,,,,,,,,-0.1024,,,,,,,,,,0.0684,,,0.5043,,,0.1728,,,,,,,,,0.2299,,,,,,,,,,,,0.2146,-0.158,,,,,,-0.0697,,,,,0.3907,,-0.326
2016-09-30 00:00:00,,,,,,,,,,-0.1253,,,,,,,,,,0.0727,,,0.5076,,,0.1734,,,,,,,,,0.2359,,,,,,,,,,,,0.2184,-0.164,,,,,,-0.0671,,,,,0.4158,,-0.362
2016-06-30 00:00:00,,,,,,,,,,-0.1398,,,,,,,,,,0.0811,,,0.5109,,,0.164,,,,,,,,,0.2492,,,,,,,,,,,,0.2265,-0.157,,,,,,-0.0622,,,,,0.3698,,-0.406
2016-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.1095,,,0.5103,,,0.1772,,,,,,,,,0.25,,,,,,,,,,,,0.2237,-0.149,,,,,,-0.0488,,,,,0.3814,,-0.464
2015-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.1253,,,0.5361,,,0.1902,,,,,,,,,0.2674,,,,,,,,,,,,,-0.149,,,,,,-0.0529,,,,,0.4077,,-0.538
2015-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,0.1195,,,0.5459,,,0.202,,,,,,,,,0.2848,,,,,,,,,,,,,-0.151,,,,,,,,,,,,,-0.55
2015-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,0.1172,,,0.5536,,,0.2194,,,,,,,,,0.2292,,,,,,,,,,,,,-0.162,,,,,,,,,,,,,-0.566
2015-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.1114,,,0.5658,,,0.1628,,,,,,,,,0.2482,,,,,,,,,,,,,-0.189,,,,,,,,,,,,,-0.537
